Match_ID,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Winning_Innings
ODI # 63,England,Australia,Lord's,1979-06-09 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 64,Canada,Pakistan,Leeds,1979-06-09 00:00:00,Pakistan,England,Neutral,Neutral,First,Second,2nd
ODI # 65,India,New Zealand,Leeds,1979-06-13 00:00:00,New Zealand,England,Neutral,Neutral,First,Second,2nd
ODI # 66,Australia,Pakistan,Nottingham,,Pakistan,England,Neutral,Neutral,Second,First,1st
ODI # 67,England,Canada,Manchester,,England,England,Home,Away,Second,First,2nd
ODI # 68,India,Sri Lanka,Manchester,,Sri Lanka,England,Neutral,Neutral,Second,First,1st
ODI # 69,New Zealand,West Indies,Nottingham,1979-06-16 00:00:00,West Indies,England,Neutral,Neutral,Second,First,1st
ODI # 70,Australia,Canada,Birmingham,1979-06-16 00:00:00,Australia,England,Neutral,Neutral,Second,First,2nd
ODI # 71,England,Pakistan,Leeds,1979-06-16 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 72,England,New Zealand,Manchester,1979-06-20 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 73,Pakistan,West Indies,The Oval,1979-06-20 00:00:00,West Indies,England,Neutral,Neutral,Second,First,1st
ODI # 74,England,West Indies,Lord's,1979-06-23 00:00:00,West Indies,England,Home,Away,Second,First,1st
ODI # 75,Australia,West Indies,Sydney,1979-11-27 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 76,England,West Indies,Sydney,1979-11-28 00:00:00,England,Australia,Neutral,Neutral,First,Second,1st
ODI # 77,Australia,England,Melbourne,1979-12-08 00:00:00,England,Australia,Home,Away,First,Second,2nd
ODI # 78,Australia,West Indies,Melbourne,1979-12-09 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 79,Australia,England,Sydney,1979-12-11 00:00:00,England,Australia,Home,Away,Second,First,1st
ODI # 80,Australia,West Indies,Sydney,1979-12-21 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 81,England,West Indies,Brisbane,1979-12-23 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 82,Australia,England,Sydney,1979-12-26 00:00:00,England,Australia,Home,Away,First,Second,2nd
ODI # 83,Australia,England,Sydney,1980-01-14 00:00:00,England,Australia,Home,Away,First,Second,2nd
ODI # 84,England,West Indies,Adelaide,1980-01-16 00:00:00,West Indies,Australia,Neutral,Neutral,Second,First,1st
ODI # 85,Australia,West Indies,Sydney,1980-01-18 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 86,England,West Indies,Melbourne,1980-01-20 00:00:00,West Indies,Australia,Neutral,Neutral,Second,First,1st
ODI # 87,England,West Indies,Sydney,1980-01-22 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 88,New Zealand,West Indies,Christchurch,1980-02-06 00:00:00,New Zealand,New Zealand,Home,Away,Second,First,2nd
ODI # 89,England,West Indies,Leeds,,West Indies,England,Home,Away,Second,First,1st
ODI # 90,England,West Indies,Lord's,1980-05-30 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 91,England,Australia,The Oval,1980-08-20 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 92,England,Australia,Birmingham,1980-08-22 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 93,Pakistan,West Indies,Karachi,1980-11-21 00:00:00,West Indies,Pakistan,Home,Away,First,Second,2nd
ODI # 94,Australia,New Zealand,Adelaide,1980-11-23 00:00:00,New Zealand,Australia,Home,Away,First,Second,2nd
ODI # 95,Australia,New Zealand,Sydney,1980-11-25 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 96,Pakistan,West Indies,Sialkot,1980-12-05 00:00:00,West Indies,Pakistan,Home,Away,First,Second,2nd
ODI # 97,Australia,India,Melbourne,1980-12-06 00:00:00,India,Australia,Home,Away,Second,First,1st
ODI # 98,Australia,New Zealand,Melbourne,1980-12-07 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 99,India,New Zealand,Perth,1980-12-09 00:00:00,India,Australia,Neutral,Neutral,First,Second,1st
ODI # 100,Australia,India,Sydney,1980-12-18 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 101,Pakistan,West Indies,Lahore,1980-12-19 00:00:00,West Indies,Pakistan,Home,Away,Second,First,1st
ODI # 102,India,New Zealand,Brisbane,1980-12-21 00:00:00,New Zealand,Australia,Neutral,Neutral,First,Second,2nd
ODI # 103,India,New Zealand,Adelaide,1980-12-23 00:00:00,India,Australia,Neutral,Neutral,First,Second,1st
ODI # 104,Australia,India,Sydney,1981-01-08 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 105,India,New Zealand,Melbourne,1981-01-10 00:00:00,New Zealand,Australia,Neutral,Neutral,First,Second,2nd
ODI # 106,Australia,India,Melbourne,1981-01-11 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 107,Australia,New Zealand,Sydney,1981-01-13 00:00:00,New Zealand,Australia,Home,Away,Second,First,1st
ODI # 108,Australia,India,Sydney,1981-01-15 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 109,India,New Zealand,Brisbane,1981-01-18 00:00:00,New Zealand,Australia,Neutral,Neutral,Second,First,1st
ODI # 111,Australia,New Zealand,Sydney,1981-01-29 00:00:00,New Zealand,Australia,Home,Away,Second,First,1st
ODI # 112,Australia,New Zealand,Melbourne,1981-01-31 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 113,Australia,New Zealand,Melbourne,1981-02-01 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 114,Australia,New Zealand,Sydney,1981-02-03 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 115,West Indies,England,Kingstown,1981-02-04 00:00:00,West Indies,West Indies,Home,Away,First,Second,1st
ODI # 116,New Zealand,India,Auckland,1981-02-14 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 117,New Zealand,India,Hamilton,1981-02-15 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 118,West Indies,England,Albion,1981-02-26 00:00:00,West Indies,West Indies,Home,Away,Second,First,2nd
ODI # 119,England,Australia,Lord's,1981-06-04 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 120,England,Australia,Birmingham,1981-06-06 00:00:00,Australia,England,Home,Away,Second,First,1st
ODI # 121,England,Australia,Leeds,1981-06-08 00:00:00,Australia,England,Home,Away,Second,First,1st
ODI # 122,Pakistan,West Indies,Melbourne,1981-11-21 00:00:00,West Indies,Australia,Neutral,Neutral,Second,First,1st
ODI # 123,Australia,Pakistan,Melbourne,1981-11-22 00:00:00,Pakistan,Australia,Home,Away,First,Second,2nd
ODI # 124,Australia,West Indies,Sydney,1981-11-24 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 125,India,England,Ahmedabad,1981-11-25 00:00:00,England,India,Home,Away,First,Second,2nd
ODI # 126,Pakistan,West Indies,Adelaide,1981-12-05 00:00:00,Pakistan,Australia,Neutral,Neutral,First,Second,1st
ODI # 127,Australia,Pakistan,Adelaide,1981-12-06 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 128,Australia,Pakistan,Sydney,1981-12-17 00:00:00,Pakistan,Australia,Home,Away,First,Second,2nd
ODI # 129,Pakistan,West Indies,Perth,1981-12-19 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 130,Australia,West Indies,Perth,1981-12-20 00:00:00,West Indies,Australia,Home,Away,First,Second,2nd
ODI # 131,India,England,Jalandhar,1981-12-20 00:00:00,India,India,Home,Away,Second,First,2nd
ODI # 132,Australia,Pakistan,Melbourne,1982-01-09 00:00:00,Pakistan,Australia,Home,Away,Second,First,1st
ODI # 133,Australia,West Indies,Melbourne,1982-01-10 00:00:00,West Indies,Australia,Home,Away,First,Second,2nd
ODI # 134,Pakistan,West Indies,Sydney,1982-01-12 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 135,Australia,Pakistan,Sydney,1982-01-14 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 136,Pakistan,West Indies,Brisbane,1982-01-16 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 137,Australia,West Indies,Brisbane,1982-01-17 00:00:00,West Indies,Australia,Home,Away,First,Second,2nd
ODI # 138,Australia,West Indies,Sydney,1982-01-19 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 139,Australia,West Indies,Melbourne,1982-01-23 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 140,Australia,West Indies,Melbourne,1982-01-24 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 141,Australia,West Indies,Sydney,1982-01-26 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 142,Australia,West Indies,Sydney,1982-01-27 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 143,India,England,Cuttack,1982-01-27 00:00:00,India,India,Home,Away,Second,First,2nd
ODI # 144,New Zealand,Australia,Auckland,1982-02-13 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 145,Sri Lanka,England,Colombo,1982-02-13 00:00:00,England,Sri Lanka,Home,Away,Second,First,1st
ODI # 146,Sri Lanka,England,Colombo,1982-02-14 00:00:00,Sri Lanka,Sri Lanka,Home,Away,First,Second,1st
ODI # 147,New Zealand,Australia,Dunedin,1982-02-17 00:00:00,Australia,New Zealand,Home,Away,First,Second,2nd
ODI # 148,New Zealand,Australia,Wellington,1982-02-20 00:00:00,Australia,New Zealand,Home,Away,First,Second,2nd
ODI # 149,Pakistan,Sri Lanka,Karachi,1982-03-12 00:00:00,Pakistan,Pakistan,Home,Away,Second,First,2nd
ODI # 150,Pakistan,Sri Lanka,Lahore,1982-03-29 00:00:00,Sri Lanka,Pakistan,Home,Away,Second,First,1st
ODI # 151,Pakistan,Sri Lanka,Karachi,1982-03-31 00:00:00,Pakistan,Pakistan,Home,Away,Second,First,2nd
ODI # 152,England,India,Leeds,1982-06-02 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 153,England,India,The Oval,1982-06-04 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 154,England,Pakistan,Nottingham,1982-07-17 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 155,England,Pakistan,Manchester,1982-07-19 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 156,India,Sri Lanka,Amritsar,1982-09-12 00:00:00,India,India,Home,Away,First,Second,1st
ODI # 157,India,Sri Lanka,Delhi,1982-09-15 00:00:00,India,India,Home,Away,Second,First,2nd
ODI # 158,Pakistan,Australia,Hyderabad,1982-09-20 00:00:00,Pakistan,India,Neutral,Neutral,First,Second,1st
ODI # 159,India,Sri Lanka,Bengaluru,1982-09-26 00:00:00,India,India,Home,Away,Second,First,2nd
ODI # 160,Pakistan,Australia,Lahore,1982-10-08 00:00:00,Pakistan,Pakistan,Home,Away,First,Second,1st
ODI # 162,Pakistan,India,Gujranwala,1982-12-03 00:00:00,Pakistan,Pakistan,Home,Away,First,Second,1st
ODI # 163,Pakistan,India,Multan,1982-12-17 00:00:00,Pakistan,Pakistan,Home,Away,First,Second,1st
ODI # 164,Pakistan,India,Lahore,1982-12-31 00:00:00,India,Pakistan,Home,Away,Second,First,1st
ODI # 165,Australia,New Zealand,Melbourne,1983-01-09 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 166,Australia,England,Sydney,1983-01-11 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 167,England,New Zealand,Melbourne,1983-01-13 00:00:00,New Zealand,Australia,Neutral,Neutral,Second,First,1st
ODI # 168,England,New Zealand,Brisbane,1983-01-15 00:00:00,England,Australia,Neutral,Neutral,First,Second,1st
ODI # 169,Australia,England,Brisbane,1983-01-16 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 170,Australia,New Zealand,Sydney,1983-01-18 00:00:00,New Zealand,Australia,Home,Away,Second,First,1st
ODI # 171,England,New Zealand,Sydney,1983-01-20 00:00:00,England,Australia,Neutral,Neutral,Second,First,2nd
ODI # 172,Pakistan,India,Karachi,1983-01-21 00:00:00,Pakistan,Pakistan,Home,Away,Second,First,2nd
ODI # 173,Australia,New Zealand,Melbourne,1983-01-22 00:00:00,New Zealand,Australia,Home,Away,Second,First,1st
ODI # 174,Australia,England,Melbourne,1983-01-23 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 175,Australia,England,Sydney,1983-01-26 00:00:00,England,Australia,Home,Away,Second,First,1st
ODI # 176,England,New Zealand,Adelaide,1983-01-29 00:00:00,New Zealand,Australia,Neutral,Neutral,First,Second,2nd
ODI # 177,Australia,England,Adelaide,1983-01-30 00:00:00,England,Australia,Home,Away,Second,First,1st
ODI # 178,Australia,New Zealand,Adelaide,1983-01-31 00:00:00,New Zealand,Australia,Home,Away,Second,First,1st
ODI # 179,England,New Zealand,Perth,1983-02-05 00:00:00,New Zealand,Australia,Neutral,Neutral,First,Second,2nd
ODI # 180,Australia,New Zealand,Perth,1983-02-06 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 181,Australia,New Zealand,Sydney,1983-02-09 00:00:00,Australia,Australia,Home,Away,Second,First,2nd
ODI # 182,Australia,New Zealand,Melbourne,1983-02-13 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 183,New Zealand,England,Auckland,1983-02-19 00:00:00,New Zealand,New Zealand,Home,Away,Second,First,2nd
ODI # 184,New Zealand,England,Wellington,1983-02-23 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 185,New Zealand,England,Christchurch,1983-02-26 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 186,New Zealand,Sri Lanka,Dunedin,1983-03-02 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 187,West Indies,India,Port of Spain,1983-03-09 00:00:00,West Indies,West Indies,Home,Away,First,Second,1st
ODI # 188,Australia,New Zealand,Sydney,1983-03-17 00:00:00,New Zealand,Australia,Home,Away,Second,First,1st
ODI # 189,New Zealand,Sri Lanka,Napier,1983-03-19 00:00:00,New Zealand,New Zealand,Home,Away,Second,First,2nd
ODI # 190,New Zealand,Sri Lanka,Auckland,1983-03-20 00:00:00,New Zealand,New Zealand,Home,Away,First,Second,1st
ODI # 191,West Indies,India,Albion,1983-03-29 00:00:00,India,West Indies,Home,Away,Second,First,1st
ODI # 192,West Indies,India,St George's,1983-04-07 00:00:00,West Indies,West Indies,Home,Away,Second,First,2nd
ODI # 193,Sri Lanka,Australia,Colombo,1983-04-13 00:00:00,Sri Lanka,Sri Lanka,Home,Away,Second,First,2nd
ODI # 194,Sri Lanka,Australia,Colombo,1983-04-16 00:00:00,Sri Lanka,Sri Lanka,Home,Away,Second,First,2nd
ODI # 197,England,New Zealand,The Oval,1983-06-09 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 198,Pakistan,Sri Lanka,Swansea,1983-06-09 00:00:00,Pakistan,England,Neutral,Neutral,First,Second,1st
ODI # 199,Australia,Zimbabwe,Nottingham,1983-06-09 00:00:00,Zimbabwe,England,Neutral,Neutral,Second,First,1st
ODI # 200,India,West Indies,Manchester,,India,England,Neutral,Neutral,First,Second,1st
ODI # 201,England,Sri Lanka,Taunton,1983-06-11 00:00:00,England,England,Home,Away,First,Second,1st
ODI # 202,New Zealand,Pakistan,Birmingham,,New Zealand,England,Neutral,Neutral,First,Second,1st
ODI # 203,Australia,West Indies,Leeds,,West Indies,England,Neutral,Neutral,Second,First,1st
ODI # 204,India,Zimbabwe,Leicester,1983-06-11 00:00:00,India,England,Neutral,Neutral,Second,First,2nd
ODI # 205,England,Pakistan,Lord's,1983-06-13 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 206,New Zealand,Sri Lanka,Bristol,1983-06-13 00:00:00,New Zealand,England,Neutral,Neutral,Second,First,2nd
ODI # 207,Australia,India,Nottingham,1983-06-13 00:00:00,Australia,England,Neutral,Neutral,First,Second,1st
ODI # 208,West Indies,Zimbabwe,Worcester,1983-06-13 00:00:00,West Indies,England,Neutral,Neutral,Second,First,2nd
ODI # 209,England,New Zealand,Birmingham,1983-06-15 00:00:00,New Zealand,England,Home,Away,First,Second,2nd
ODI # 210,India,West Indies,The Oval,1983-06-15 00:00:00,West Indies,England,Neutral,Neutral,Second,First,1st
ODI # 211,Pakistan,Sri Lanka,Leeds,1983-06-16 00:00:00,Pakistan,England,Neutral,Neutral,First,Second,1st
ODI # 212,Australia,Zimbabwe,Southampton,1983-06-16 00:00:00,Australia,England,Neutral,Neutral,First,Second,1st
ODI # 213,England,Pakistan,Manchester,1983-06-18 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 214,New Zealand,Sri Lanka,Derby,1983-06-18 00:00:00,Sri Lanka,England,Neutral,Neutral,First,Second,2nd
ODI # 215,Australia,West Indies,Lord's,1983-06-18 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 216,India,Zimbabwe,Tunbridge Wells,1983-06-18 00:00:00,India,England,Neutral,Neutral,First,Second,1st
ODI # 217,England,Sri Lanka,Leeds,1983-06-20 00:00:00,England,England,Home,Away,Second,First,2nd
ODI # 218,New Zealand,Pakistan,Nottingham,1983-06-20 00:00:00,Pakistan,England,Neutral,Neutral,Second,First,1st
ODI # 219,Australia,India,Chelmsford,1983-06-20 00:00:00,India,England,Neutral,Neutral,Second,First,1st
ODI # 220,West Indies,Zimbabwe,Birmingham,1983-06-20 00:00:00,West Indies,England,Neutral,Neutral,Second,First,2nd
ODI # 221,England,India,Manchester,1983-06-22 00:00:00,India,England,Home,Away,First,Second,2nd
ODI # 222,Pakistan,West Indies,The Oval,1983-06-22 00:00:00,West Indies,England,Neutral,Neutral,First,Second,2nd
ODI # 223,India,West Indies,Lord's,1983-06-25 00:00:00,India,England,Neutral,Neutral,First,Second,1st
ODI # 224,India,Pakistan,Hyderabad,1983-09-10 00:00:00,India,India,Home,Away,Second,First,2nd
ODI # 225,India,Pakistan,Jaipur,1983-10-02 00:00:00,India,India,Home,Away,Second,First,2nd
ODI # 226,India,West Indies,Srinagar,1983-10-13 00:00:00,West Indies,India,Home,Away,Second,First,1st
ODI # 227,India,West Indies,Vadodara,1983-11-09 00:00:00,West Indies,India,Home,Away,First,Second,2nd
ODI # 228,India,West Indies,Indore,1983-12-01 00:00:00,West Indies,India,Home,Away,First,Second,2nd
ODI # 229,India,West Indies,Jamshedpur,1983-12-07 00:00:00,West Indies,India,Home,Away,Second,First,1st
ODI # 230,India,West Indies,Guwahati,1983-12-17 00:00:00,West Indies,India,Home,Away,First,Second,2nd
ODI # 231,Australia,West Indies,Melbourne,1984-01-08 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 232,Australia,Pakistan,Sydney,1984-01-10 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 233,Pakistan,West Indies,Melbourne,1984-01-12 00:00:00,Pakistan,Australia,Neutral,Neutral,First,Second,1st
ODI # 234,Pakistan,West Indies,Brisbane,1984-01-14 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 236,Australia,West Indies,Sydney,1984-01-17 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 237,Pakistan,West Indies,Sydney,1984-01-19 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 238,Australia,Pakistan,Melbourne,1984-01-21 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 239,Australia,West Indies,Melbourne,1984-01-22 00:00:00,West Indies,Australia,Home,Away,Second,First,1st
ODI # 240,Australia,Pakistan,Sydney,1984-01-25 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 241,Pakistan,West Indies,Adelaide,1984-01-28 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 242,Australia,West Indies,Adelaide,1984-01-29 00:00:00,West Indies,Australia,Home,Away,First,Second,2nd
ODI # 243,Australia,Pakistan,Adelaide,1984-01-30 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 244,Pakistan,West Indies,Perth,1984-02-04 00:00:00,West Indies,Australia,Neutral,Neutral,First,Second,2nd
ODI # 245,Australia,West Indies,Perth,1984-02-05 00:00:00,Australia,Australia,Home,Away,First,Second,1st
ODI # 246,Australia,West Indies,Sydney,1984-02-08 00:00:00,West Indies,Australia,Home,Away,First,Second,2nd
ODI # 248,Australia,West Indies,Melbourne,1984-02-12 00:00:00,West Indies,Australia,Home,Away,First,Second,2nd
ODI # 249,New Zealand,England,Christchurch,1984-02-18 00:00:00,England,New Zealand,Home,Away,Second,First,1st
ODI # 250,New Zealand,England,Wellington,1984-02-22 00:00:00,England,New Zealand,Home,Away,First,Second,2nd
ODI # 251,New Zealand,England,Auckland,1984-02-25 00:00:00,New Zealand,New Zealand,Home,Away,Second,First,2nd
ODI # 252,West Indies,Australia,Albion,1984-02-29 00:00:00,West Indies,West Indies,Home,Away,Second,First,2nd
ODI # 253,Sri Lanka,New Zealand,Colombo,1984-03-03 00:00:00,New Zealand,Sri Lanka,Home,Away,Second,First,1st
